"","ASV1","ASV2","ASV3","ASV4","ASV5","ASV6","ASV7","ASV8","ASV9","ASV10","ASV11","ASV12","ASV23","ASV24","ASV26","ASV29","ASV40","ASV41","ASV88","ASV98","ASV104","ASV110","ASV134","ASV175","ASV201","ASV206","ASV235","ASV264","ASV295","ASV319","ASV328","ASV340","ASV386","ASV396"
"CF01.1",3,0,264,0,0,7,0,0,4,0,0,5212,0,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CF01.2",38,16,563,0,2,4,0,6,0,0,4001,4894,0,0,0,5,0,138,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"CF01.3",17,7,225,4,0,0,0,0,0,0,0,2804,0,0,0,58,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"CF02.1",7,9952,602,0,0,0,0,0,0,0,0,16219,0,0,0,122,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CF02.2",61,7754,397,0,0,0,0,0,0,0,5390,5503,0,0,0,30,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CF02.3",18,4290,242,5,3,0,8,0,0,0,0,578,0,0,0,8,1410,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"CF05.1",6,0,18,0,0,6,0,0,0,0,0,3219,0,0,3488,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CF05.2",25,22,264,552,0,0,102,24741,0,0,2065,1767,0,0,0,72,35,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"CF05.3",15,12,384,0,10,8,1986,12923,6,0,0,2856,0,0,0,45,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"CF06.1",220,4,16620,0,14507,14438,0,0,6374,0,0,6,1169,0,0,5,0,0,0,0,10,205,22,48,0,21,0,0,0,0,0,0,2,0
"CF06.2",284,14,24596,93,5451,18044,10,0,8597,0,120,61,1405,0,0,0,0,8,0,0,0,0,0,0,0,0,0,15,9,5,0,0,0,0
"CF06.3",579,0,23514,171,14522,10422,14,0,6539,0,4,74,809,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
"CF07.1",6,0,447,0,7,8,5,0,5,0,0,485,0,3850,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
